filename,frame_index,timestamp_seconds,source_video
dataset\VideoOneShorten\frames\frame_000236.png,236,39.333333333333336,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000237.png,237,39.5,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000238.png,238,39.666666666666664,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000239.png,239,39.833333333333336,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000240.png,240,40.0,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000241.png,241,40.166666666666664,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000242.png,242,40.333333333333336,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000243.png,243,40.5,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000244.png,244,40.666666666666664,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000245.png,245,40.833333333333336,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000246.png,246,41.0,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000247.png,247,41.166666666666664,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000248.png,248,41.333333333333336,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000249.png,249,41.5,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000250.png,250,41.666666666666664,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000251.png,251,41.833333333333336,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000252.png,252,42.0,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000253.png,253,42.166666666666664,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000254.png,254,42.333333333333336,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000255.png,255,42.5,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000256.png,256,42.666666666666664,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000257.png,257,42.833333333333336,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000258.png,258,43.0,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000259.png,259,43.166666666666664,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000260.png,260,43.333333333333336,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000261.png,261,43.5,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000262.png,262,43.666666666666664,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000263.png,263,43.833333333333336,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000264.png,264,44.0,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000265.png,265,44.166666666666664,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000266.png,266,44.333333333333336,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000267.png,267,44.5,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000268.png,268,44.666666666666664,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000269.png,269,44.833333333333336,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000270.png,270,45.0,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000271.png,271,45.166666666666664,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000272.png,272,45.333333333333336,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000273.png,273,45.5,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000274.png,274,45.666666666666664,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000275.png,275,45.833333333333336,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000276.png,276,46.0,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000277.png,277,46.166666666666664,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000278.png,278,46.333333333333336,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000279.png,279,46.5,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000280.png,280,46.666666666666664,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000281.png,281,46.833333333333336,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000282.png,282,47.0,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000283.png,283,47.166666666666664,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000284.png,284,47.333333333333336,videos\VideoOneShorten.mp4
